name,도로종류,lat,lng,electric_charge,sleep,shower,laundry,menu
밀양영남루(함양),고속국도,35.489732,128.663321,N,Y,Y,Y,비빔밥
서부산(순천),고속국도,35.157197,128.948638,Y,,,,김치찌개
남한강(통합),고속국도,37.482835,127.466735,Y,,,,제육볶음
횡성(인천),고속국도,37.464983,128.135449,Y,Y,Y,Y,횡성더덕설렁탕
횡성(강릉),고속국도,37.462755,128.133969,Y,,,,횡성한우떡더덕스테이크
황전(완주),고속국도,35.153306,127.454683,Y,,,,황전해초꼬막비빔밥+재첩국
황전(순천),고속국도,35.148905,127.454145,Y,,,,고소한 수제돈가스+남도식국물잡채
황간(서울),고속국도,36.249437,127.854835,Y,Y,Y,Y,영표국밥＆솥밥
황간(부산),고속국도,36.248899,127.8526701,Y,,,,영표국밥＆솥밥
화성(서울),고속국도,37.143497,126.881289,Y,Y,Y,Y,순두부청국장
화성(목포),고속국도,37.143612,126.8790801,Y,,,,화성궁중비빔밥
화서(영덕),고속국도,36.444053,127.922637,Y,,,,제육볶음
홍천강(춘천),고속국도,37.712386,127.827719,Y,Y,Y,Y,얼큰황태순두부_주물솥밥
홍천(양양),고속국도,37.757369,128.003099,Y,,,,홍천닭갈비화로구이
홍천(서울),고속국도,37.758898,128.0065801,Y,,,,중화비빔밥
홍성(서울),고속국도,36.5524301,126.5818701,Y,,,,홍성반상한우국밥
홍성(목포),고속국도,36.552584,126.579514,Y,Y,Y,Y,홍성반상한우국밥
현풍(창원),고속국도,35.701783,128.435359,Y,,,,현풍고추장불고기백반
현풍(대구),고속국도,35.701841,128.4381001,Y,Y,Y,Y,현풍돼지불고기백반
행담도,고속국도,36.944819,126.807525,Y,Y,Y,Y,전주양반비빔밥
함평천지(서울),고속국도,35.130746,126.482295,Y,Y,Y,Y,친환경 우렁 강된장 볶음+몽글몽글 순두부찌개
함평천지(목포),고속국도,35.069687,126.478247,Y,,,,나주곰탕+순두부찌개
함평나비(무안),고속국도,35.038198,126.508813,Y,Y,Y,Y,순두부청국장+등심돈까스
함평나비(광주),고속국도,35.037283,126.511676,Y,,,,사골김치찌개+황태해장국
함양(통영),고속국도,35.551322,127.758563,Y,,,,새싹삼비빔밥
함양(대전),고속국도,35.551611,127.7604201,Y,,,,새싹삼비빔밥
함안(순천),고속국도,35.294701,128.344767,N,,,,돼지짜글이백반
함안(부산),고속국도,35.294068,128.346957,Y,,,,연잎등심돈가스
하남드림,고속국도,37.530281,127.206084,Y,,,,하남마방장터국밥
평택,고속국도,37.045585,126.943774,Y,,,,평택나루사골우거지국밥
평창(인천),고속국도,37.610876,128.463363,Y,,,,평창한우국밥
평창(강릉),고속국도,37.6055701,128.452681,Y,,,,평창한우불고기비빔밥
평사(부산),고속국도,35.885522,128.867541,Y,Y,Y,Y,경산대추비빔밥
통도사(부산),고속국도,35.488841,129.090775,Y,,,,1등급한우국밥
칠서(양평),고속국도,35.3708801,128.496807,Y,Y,Y,Y,소고기국밥
칠곡(서울),고속국도,36.012005,128.4308001,Y,,,,대구따로국밥
칠곡(부산),고속국도,36.019795,128.428517,Y,,,,칠곡호국부대찌개
치악(춘천),고속국도,37.256692,128.0488701,Y,,,,치악산큰송이닭곰탕
치악(부산),고속국도,37.253647,128.048514,Y,Y,Y,Y,산나물만두감자옹심이
충주(창원),고속국도,37.022229,127.837071,Y,,,,충주사과수제돈가스
