name,category,lat,lng,forest_house,heal_house,forest_heal,glamping,deck_site,camp_site
진주 월아산 자연휴양림,공유림,35.19991568,128.1941259,○,○,○,○,○,
동강전망자연휴양림,공유림,37.25962318,128.6079002,,,,,,
거제자연휴양림,국유림,34.7856966,128.625968,○,○,,,,○
서귀포 치유의 숲,공유림,33.291941,126.527902,,,,,,
붉은오름자연휴양림,공유림,33.401429,126.675671,○,○,,,,
서귀포자연휴양림,국유림,33.3115002,126.458761,○,○,○,,,○
절물자연휴양림,국유림,33.44004881,126.6252034,,,,,,
고성갈모봉 자연휴양림,공유림,34.97175502,128.2675789,,,,,,
청송자연휴양림,공유림,36.3179023,129.0537598,○,,,,,
대야산자연휴양림,국유림,36.67090364,127.9619774,,○,,,,
불정자연휴양림,공유림,36.62128207,128.1365074,○,,,,,
계명산자연휴양림(휴장),공유림,36.41012056,128.9465131,○,○,○,,,○
태학산자연휴양림,공유림,36.72734819,127.0903273,○,○,,,,
성불산자연휴양림,공유림,36.80804701,127.8467688,○,○,,,,
문수산 산림욕장,공유림,37.737829,126.5308885,,,,,,
동두천자연휴양림,공유림,37.88988548,127.1371472,○,○,○,,○,
미숭산자연휴양림,공유림,35.75077545,128.2028394,○,○,,,,
갯골자연휴양림,공유림,38.086369,128.124233,○,○,,,,○
하추자연휴양림,공유림,38.03469483,128.3193078,○,○,,,,○
안면도자연휴양림,국유림,36.49670127,126.3588291,○,,,,,
독용산성 자연휴양림,공유림,35.90636795,128.1344115,○,○,,,,
청태산휴양림,국유림,37.52907993,128.2968658,○,○,,,,○
숲체원,국유림,37.53722046,128.2866886,,,,,,
주천강자연휴양림,사유림,37.4606019,128.2034233,,,,,,
횡성자연휴양림,사유림,37.53904383,128.1118525,○,○,,,,
두루웰자연휴양림,공유림,38.227936,127.353297,○,,,,,
대봉캠핑랜드,공유림,35.58818,127.6790131,○,,,,,○
영인산자연휴양림,공유림,36.84059456,126.9500195,○,,,,,○
방장산자연휴양림,국유림,35.44405218,126.7514053,○,○,,,,
국립방장산자연휴양림,국유림,35.3688012,126.7314612,,,,,,
백운산자연휴양림,공유림,35.05164287,127.5985311,,,,,,○
만수산자연휴양림,공유림,36.33854208,126.7119325,○,,,,,
장항송림자연휴양림,공유림,36.0153114,126.666332,,,,,,
국립희리산해송자연휴양림,국유림,36.11262716,126.664181,○,,,,,○
신안자연휴양관,국유림,34.87971569,125.9954724,,○,○,,,
성주산자연휴양림,공유림,36.33256882,126.6639659,○,,,,,○
순천자연휴양림,사유림,35.043881,127.474495,,,,,,
청평자연휴양림,사유림,37.711801,127.40724,,○,○,,,
칼봉산자연휴양림,국유림,37.836519,127.465159,○,○,○,,,
기찬자연휴양림,공유림,34.68865433,126.600295,○,,,,,○
구름산산림욕장,국유림,37.454013,126.876365,,,,,,
토함산자연휴양림,공유림,35.75854614,129.3671244,○,,,,,○
금봉자연휴양림,공유림,36.3360183,128.8807891,○,○,○,,,
장곡자연휴양림,공유림,36.13118976,128.8465299,○,○,,,,
함평자연생태공원,국유림,35.13500123,126.5057,,,,,,
백아산자연휴양림,공유림,35.15137582,127.1671251,,,,,,
용지봉자연휴양림(김해),국유림,35.18540272,128.7754769,○,○,,,,
산삼휴양밸리(대봉캠핑랜드),공유림,35.58818277,127.6790131,○,○,,,,
오도산자연휴양림(합천),공유림,35.66904518,128.0538745,○,○,,,,
남원자연휴양림,사유림,35.458117,127.415508,,,,,,○
흥부골자연휴양림,공유림,35.450932,127.590258,○,,,,,○
심천치유자연휴양림,사유림,35.99504733,127.4849511,○,,,,,○
서대산약용자연휴양림,사유림,36.22268671,127.5258197,○,,,,,
진산자연휴양림,사유림,36.12303243,127.3441498,○,,,○,,
