시장명,시장유형,위도,경도,점포수,공중화장실보유여부,주차장보유여부,개설연도
산서시장,상설장+5일장,35.58449451,127.3958978,31,Y,Y,1953
모래내시장(전주),상설장,35.833574,127.1438694,219,Y,Y,1975
전주신중앙시장(신중앙시장),상설장,35.82412315,127.1434822,161,Y,Y,
전주남부시장,상설장,35.81278651,127.1475386,320,Y,Y,1977
서부시장상점가(서부시장 통합),상설장,35.80523071,127.1266583,143,Y,Y,
전주중앙상가,상설장,35.82522103,127.1424489,375,Y,Y,1990
샘고을시장,상설장,35.56288819,126.8551596,249,Y,Y,1914
신태인시장,상설장+5일장,35.68729048,126.8865678,46,Y,Y,1917
정읍연지시장,상설장,,,39,Y,Y,1958
일로전통시장,상설장+5일장,34.84753364,126.4943339,56,Y,Y,2005
벌교매일시장,상설장,34.84300877,127.3459893,85,Y,Y,2013
보성매일시장,상설장,34.7681521,127.0806817,31,Y,Y,1964
예천중앙시장,상설장+5일장,36.6574335,128.4578325,65,Y,Y,2011
용궁시장,상설장+5일장,36.60702184,128.2753688,9,Y,Y,1915
부안상설시장,상설장,35.72711546,126.7329492,190,Y,Y,1965
줄포시장,상설장+5일장,35.58760184,126.6768543,30,Y,Y,1965
고산미소시장,상설장+5일장,35.97407542,127.2054145,33,Y,Y,1964
봉동시장,상설장+5일장,35.93871982,127.1670778,33,Y,Y,1964
삼례시장,상설장+5일장,35.91061359,127.0735831,54,Y,Y,1964
익산금마시장,상설장+5일장,35.99217754,127.0534309,29,Y,Y,1959
북부시장,상설장+5일장,35.94821919,126.9565852,171,Y,Y,1975
익산장(익산북부장),상설장+5일장,35.9512294,126.9566254,120,Y,Y,2008
함열시장,상설장+5일장,,,20,Y,Y,2004
익산 구시장,상설장,35.93152656,126.952339,93,Y,Y,2014
익산남부시장,상설장,35.93194154,126.9533804,46,Y,Y,1914
매일시장,상설장,35.94039371,126.9496739,58,Y,Y,2005
서동시장,상설장,35.94271026,126.950383,60,Y,Y,1980
황등시장,상설장+5일장,35.99888044,126.9524759,35,Y,Y,1937
오수시장,상설장+5일장,35.53844479,127.3266535,42,Y,Y,1984
흥부시장,상설장+5일장,37.10360525,129.3753791,28,Y,N,1965
울진바지게시장,상설장+5일장,36.9916292,129.4020697,200,Y,Y,1965
죽변시장,상설장+5일장,37.05896152,129.4222539,50,Y,Y,1965
평해시장,상설장+5일장,36.72694696,129.4424335,44,Y,Y,1965
후포시장,상설장+5일장,36.67787465,129.4442245,139,Y,Y,1965
